20270001/1;1;10001;20001;30001;40001
20270001/2;1667;11667;21667;31667;41667
20270001/3;3333;13333;23333;33333;43333
20270001/4;4999;14999;24999;34999;44999
20270001/5;6665;16665;26665;36665;46665
20270001/6;8331;18331;28331;38331;48331
20270001/7;50001;60001;70001;80001;90001
20270001/8;51667;61667;71667;81667;91667
20270001/9;53333;63333;73333;83333;93333
20270001/10;54999;64999;74999;84999;94999
20270001/11;56665;66665;76665;86665;96665
20270001/12;58331;68331;78331;88331;98331
20270002/1;2;10002;20002;30002;40002
20270002/2;1668;11668;21668;31668;41668
20270002/3;3334;13334;23334;33334;43334
20270002/4;5000;15000;25000;35000;45000
20270002/5;6666;16666;26666;36666;46666
20270002/6;8332;18332;28332;38332;48332
20270002/7;50002;60002;70002;80002;90002
20270002/8;51668;61668;71668;81668;91668
20270002/9;53334;63334;73334;83334;93334
20270002/10;55000;65000;75000;85000;95000
20270002/11;56666;66666;76666;86666;96666
20270002/12;58332;68332;78332;88332;98332
20270003/1;3;10003;20003;30003;40003
20270003/2;1669;11669;21669;31669;41669
20270003/3;3335;13335;23335;33335;43335
20270003/4;5001;15001;25001;35001;45001
20270003/5;6667;16667;26667;36667;46667
20270003/6;8333;18333;28333;38333;48333
20270003/7;50003;60003;70003;80003;90003
20270003/8;51669;61669;71669;81669;91669
20270003/9;53335;63335;73335;83335;93335
20270003/10;55001;65001;75001;85001;95001
20270003/11;56667;66667;76667;86667;96667
20270003/12;58333;68333;78333;88333;98333
20270004/1;4;10004;20004;30004;40004
20270004/2;1670;11670;21670;31670;41670
20270004/3;3336;13336;23336;33336;43336
20270004/4;5002;15002;25002;35002;45002
20270004/5;6668;16668;26668;36668;46668
20270004/6;8334;18334;28334;38334;48334
20270004/7;50004;60004;70004;80004;90004
20270004/8;51670;61670;71670;81670;91670
20270004/9;53336;63336;73336;83336;93336
20270004/10;55002;65002;75002;85002;95002
20270004/11;56668;66668;76668;86668;96668
20270004/12;58334;68334;78334;88334;98334
20270005/1;5;10005;20005;30005;40005
20270005/2;1671;11671;21671;31671;41671
20270005/3;3337;13337;23337;33337;43337
20270005/4;5003;15003;25003;35003;45003
20270005/5;6669;16669;26669;36669;46669
20270005/6;8335;18335;28335;38335;48335
20270005/7;50005;60005;70005;80005;90005
20270005/8;51671;61671;71671;81671;91671
20270005/9;53337;63337;73337;83337;93337
20270005/10;55003;65003;75003;85003;95003
20270005/11;56669;66669;76669;86669;96669
20270005/12;58335;68335;78335;88335;98335
20270006/1;6;10006;20006;30006;40006
20270006/2;1672;11672;21672;31672;41672
20270006/3;3338;13338;23338;33338;43338
20270006/4;5004;15004;25004;35004;45004
20270006/5;6670;16670;26670;36670;46670
20270006/6;8336;18336;28336;38336;48336
20270006/7;50006;60006;70006;80006;90006
20270006/8;51672;61672;71672;81672;91672
20270006/9;53338;63338;73338;83338;93338
20270006/10;55004;65004;75004;85004;95004
20270006/11;56670;66670;76670;86670;96670
20270006/12;58336;68336;78336;88336;98336
20270007/1;7;10007;20007;30007;40007
20270007/2;1673;11673;21673;31673;41673
20270007/3;3339;13339;23339;33339;43339
20270007/4;5005;15005;25005;35005;45005
20270007/5;6671;16671;26671;36671;46671
20270007/6;8337;18337;28337;38337;48337
20270007/7;50007;60007;70007;80007;90007
20270007/8;51673;61673;71673;81673;91673
20270007/9;53339;63339;73339;83339;93339
20270007/10;55005;65005;75005;85005;95005
20270007/11;56671;66671;76671;86671;96671
20270007/12;58337;68337;78337;88337;98337
20270008/1;8;10008;20008;30008;40008
20270008/2;1674;11674;21674;31674;41674
20270008/3;3340;13340;23340;33340;43340
20270008/4;5006;15006;25006;35006;45006
20270008/5;6672;16672;26672;36672;46672
20270008/6;8338;18338;28338;38338;48338
20270008/7;50008;60008;70008;80008;90008
20270008/8;51674;61674;71674;81674;91674
20270008/9;53340;63340;73340;83340;93340
20270008/10;55006;65006;75006;85006;95006
20270008/11;56672;66672;76672;86672;96672
20270008/12;58338;68338;78338;88338;98338
20270009/1;9;10009;20009;30009;40009
20270009/2;1675;11675;21675;31675;41675
20270009/3;3341;13341;23341;33341;43341
20270009/4;5007;15007;25007;35007;45007
20270009/5;6673;16673;26673;36673;46673
20270009/6;8339;18339;28339;38339;48339
20270009/7;50009;60009;70009;80009;90009
20270009/8;51675;61675;71675;81675;91675
20270009/9;53341;63341;73341;83341;93341
20270009/10;55007;65007;75007;85007;95007
20270009/11;56673;66673;76673;86673;96673
20270009/12;58339;68339;78339;88339;98339
20270010/1;10;10010;20010;30010;40010
20270010/2;1676;11676;21676;31676;41676
20270010/3;3342;13342;23342;33342;43342
20270010/4;5008;15008;25008;35008;45008
20270010/5;6674;16674;26674;36674;46674
20270010/6;8340;18340;28340;38340;48340
20270010/7;50010;60010;70010;80010;90010
20270010/8;51676;61676;71676;81676;91676
20270010/9;53342;63342;73342;83342;93342
20270010/10;55008;65008;75008;85008;95008
20270010/11;56674;66674;76674;86674;96674
20270010/12;58340;68340;78340;88340;98340
20270011/1;11;10011;20011;30011;40011
20270011/2;1677;11677;21677;31677;41677
20270011/3;3343;13343;23343;33343;43343
20270011/4;5009;15009;25009;35009;45009
20270011/5;6675;16675;26675;36675;46675
20270011/6;8341;18341;28341;38341;48341
20270011/7;50011;60011;70011;80011;90011
20270011/8;51677;61677;71677;81677;91677
20270011/9;53343;63343;73343;83343;93343
20270011/10;55009;65009;75009;85009;95009
20270011/11;56675;66675;76675;86675;96675
20270011/12;58341;68341;78341;88341;98341
20270012/1;12;10012;20012;30012;40012
20270012/2;1678;11678;21678;31678;41678
20270012/3;3344;13344;23344;33344;43344
20270012/4;5010;15010;25010;35010;45010
20270012/5;6676;16676;26676;36676;46676
20270012/6;8342;18342;28342;38342;48342
20270012/7;50012;60012;70012;80012;90012
20270012/8;51678;61678;71678;81678;91678
20270012/9;53344;63344;73344;83344;93344
20270012/10;55010;65010;75010;85010;95010
20270012/11;56676;66676;76676;86676;96676
20270012/12;58342;68342;78342;88342;98342
20270013/1;13;10013;20013;30013;40013
20270013/2;1679;11679;21679;31679;41679
20270013/3;3345;13345;23345;33345;43345
20270013/4;5011;15011;25011;35011;45011
20270013/5;6677;16677;26677;36677;46677
20270013/6;8343;18343;28343;38343;48343
20270013/7;50013;60013;70013;80013;90013
20270013/8;51679;61679;71679;81679;91679
20270013/9;53345;63345;73345;83345;93345
20270013/10;55011;65011;75011;85011;95011
20270013/11;56677;66677;76677;86677;96677
20270013/12;58343;68343;78343;88343;98343
20270014/1;14;10014;20014;30014;40014
20270014/2;1680;11680;21680;31680;41680
20270014/3;3346;13346;23346;33346;43346
20270014/4;5012;15012;25012;35012;45012
20270014/5;6678;16678;26678;36678;46678
20270014/6;8344;18344;28344;38344;48344
20270014/7;50014;60014;70014;80014;90014
20270014/8;51680;61680;71680;81680;91680
20270014/9;53346;63346;73346;83346;93346
20270014/10;55012;65012;75012;85012;95012
20270014/11;56678;66678;76678;86678;96678
